y;x1;x2;x3;y_kisitli
0.3368;1160;1.329;5.991;0.3368
0.0776;1170;1.329;5.991;0.0776
0.0124;1180;1.329;5.991;0.0124
0.0085;1190;1.329;5.991;0.0085
0.0136;1200;1.329;5.991;0.0136
0.0085;1210;1.329;5.991;0.0085
0.0023;1220;1.329;5.991;0.0023
0.1195;1160;1.329;6.006;0.1195
0.034;1170;1.329;6.006;0.034
0.0181;1180;1.329;6.006;0.0181
0.0085;1190;1.329;6.006;0.0085
0.0115;1200;1.329;6.006;0.0115
0.0061;1210;1.329;6.006;0.0061
0.0054;1220;1.329;6.006;0.0054
1.5908;1160;1.328;6.015;1.5908
0.093;1170;1.328;6.015;0.093
0.022;1180;1.328;6.015;0.022
0.019;1190;1.328;6.015;0.019
0.0304;1200;1.328;6.015;0.0304
0.011;1210;1.328;6.015;0.011
0.0146;1220;1.328;6.015;0.0146
1.7093;1160;1.426;6.882;1.7093
0.9102;1170;1.426;6.882;0.9102
0.0477;1180;1.426;6.882;0.0477
0.0158;1190;1.426;6.882;0.0158
0.0159;1200;1.426;6.882;0.0159
0.0116;1210;1.426;6.882;0.0116
0.006;1220;1.426;6.882;0.006
0.4209;1160;1.449;6.968;0.4209
0.1301;1170;1.449;6.968;0.1301
0.0151;1180;1.449;6.968;0.0151
0.0099;1190;1.449;6.968;0.0099
0.0073;1200;1.449;6.968;0.0073
0.0048;1210;1.449;6.968;0.0048
0.0061;1220;1.449;6.968;0.0061
2.0004;1160;1.439;7.079;2.0004
0.2418;1170;1.439;7.079;0.2418
0.1028;1180;1.439;7.079;0.1028
0.0128;1190;1.439;7.079;0.0128
0.0165;1200;1.439;7.079;0.0165
0.0181;1210;1.439;7.079;0.0181
0.0128;1220;1.439;7.079;0.0128
2.195;1160;1.6377;7.956;2.0187
1.2408;1170;1.6377;7.956;1.2408
0.1359;1180;1.6377;7.956;0.1359
0.0375;1190;1.6377;7.956;0.0375
0.0195;1200;1.6377;7.956;0.0195
0.0161;1210;1.6377;7.956;0.0161
0.0077;1220;1.6377;7.956;0.0077
1.3127;1160;1.584;7.996;1.3127
0.6271;1170;1.584;7.996;0.6271
0.0627;1180;1.584;7.996;0.0627
0.0124;1190;1.584;7.996;0.0124
0.0099;1200;1.584;7.996;0.0099
0.0105;1210;1.584;7.996;0.0105
0.001;1220;1.584;7.996;0.001
2.8246;1160;1.565;7.999;2.0187
0.7834;1170;1.565;7.999;0.7834
0.3299;1180;1.565;7.999;0.3299
0.0311;1190;1.565;7.999;0.0311
0.0132;1200;1.565;7.999;0.0132
0.0147;1210;1.565;7.999;0.0147
0.0182;1220;1.565;7.999;0.0182
3.0707;1160;1.819;9;2.0187
1.5234;1170;1.819;9;1.5234
0.4788;1180;1.819;9;0.4788
0.0801;1190;1.819;9;0.0801
0.0348;1200;1.819;9;0.0348
0.0202;1210;1.819;9;0.0202
0.0085;1220;1.819;9;0.0085
1.9759;1160;1.708;9.022;1.9759
0.7925;1170;1.708;9.022;0.7925
0.1992;1180;1.708;9.022;0.1992
0.0312;1190;1.708;9.022;0.0312
0.0163;1200;1.708;9.022;0.0163
0.0118;1210;1.708;9.022;0.0118
0.014;1220;1.708;9.022;0.014
3.242;1160;1.644;9.05;2.0187
1.2268;1170;1.644;9.05;1.2268
0.5531;1180;1.644;9.05;0.5531
0.0519;1190;1.644;9.05;0.0519
0.0218;1200;1.644;9.05;0.0218
0.0244;1210;1.644;9.05;0.0244
0.0171;1220;1.644;9.05;0.0171
2.9264;1160;1.792;9.913;2.0187
1.3626;1170;1.792;9.913;1.3626
0.5245;1180;1.792;9.913;0.5245
0.1025;1190;1.792;9.913;0.1025
0.0197;1200;1.792;9.913;0.0197
0.0157;1210;1.792;9.913;0.0157
0.0109;1220;1.792;9.913;0.0109
5.0916;1160;1.777;9.974;2.0187
2.5703;1170;1.777;9.974;2.0187
1.4081;1180;1.777;9.974;1.4081
0.4767;1190;1.777;9.974;0.4767
0.0697;1200;1.777;9.974;0.0697
0.0352;1210;1.777;9.974;0.0352
0.0197;1220;1.777;9.974;0.0197
3.4445;1160;1.81;9.997;2.0187
1.8484;1170;1.81;9.997;1.8484
0.9056;1180;1.81;9.997;0.9056
0.2784;1190;1.81;9.997;0.2784
0.0673;1200;1.81;9.997;0.0673
0.0231;1210;1.81;9.997;0.0231
0.0133;1220;1.81;9.997;0.0133
4.0829;1160;1.824;10.982;2.0187
2.4303;1170;1.824;10.982;2.0187
1.2374;1180;1.824;10.982;1.2374
0.5337;1190;1.824;10.982;0.5337
0.1501;1200;1.824;10.982;0.1501
0.035;1210;1.824;10.982;0.035
0.0182;1220;1.824;10.982;0.0182
4.1222;1160;1.89;11.044;2.0187
2.3488;1170;1.89;11.044;2.0187
1.057;1180;1.89;11.044;1.057
0.351;1190;1.89;11.044;0.351
0.0448;1200;1.89;11.044;0.0448
0.0161;1210;1.89;11.044;0.0161
0.0137;1220;1.89;11.044;0.0137
4.4644;1160;1.976;12.024;2.0187
2.6949;1170;1.976;12.024;2.0187
1.0923;1180;1.976;12.024;1.0923
0.3285;1190;1.976;12.024;0.3285
0.0946;1200;1.976;12.024;0.0946
0.0207;1210;1.976;12.024;0.0207
0.0169;1220;1.976;12.024;0.0169
4.7921;1160;1.959;12.052;2.0187
3.5935;1170;1.959;12.052;2.0187
1.8665;1180;1.959;12.052;1.8665
0.8169;1190;1.959;12.052;0.8169
0.3332;1200;1.959;12.052;0.3332
0.0599;1210;1.959;12.052;0.0599
0.0285;1220;1.959;12.052;0.0285
